"Story","Title","Result","Date","Stability","Duration (s)"
"As admin I want to see details building on building page","As admin i have be able success to see building on building page","SUCCESS","2022-07-18T05:02:06.072+07:00[Asia/Bangkok]","0.0","26.25"
"As admin I want to see details building on building page","As admin i have be able success to create new building","SUCCESS","2022-07-18T05:02:41.682+07:00[Asia/Bangkok]","0.0","18.89"
"As admin I want to see details building on building page","As admin i have be able success to create new building with fill facilities","SUCCESS","2022-07-18T05:03:08.149+07:00[Asia/Bangkok]","0.0","22.12"
"As admin I want to see details building on building page","As admin i have failed to create building with no choose complex","SUCCESS","2022-07-18T05:03:38.551+07:00[Asia/Bangkok]","0.0","17.23"
"As admin I want to see details building on building page","As admin i create new building but i click cancel","SUCCESS","2022-07-18T05:04:03.42+07:00[Asia/Bangkok]","0.0","17.37"
"As admin I want to see details building on building page","As admin i failed to create building with empty data","SUCCESS","2022-07-18T05:04:24.716+07:00[Asia/Bangkok]","0.0","16.35"
"As admin I want to see details building on building page","As admin i have be able to success delete building","SUCCESS","2022-07-18T05:04:51.153+07:00[Asia/Bangkok]","0.0","15.7"
