"Story","Title","Result","Date","Stability","Duration (s)"
"As admin I want to see details building on building page","As admin i have be able success to see building on building page","SUCCESS","2022-07-18T05:02:06.072+07:00[Asia/Bangkok]","0.0","26.25"
"As admin I want to see details building on building page","As admin i have be able success to create new building","SUCCESS","2022-07-18T05:02:41.682+07:00[Asia/Bangkok]","0.0","18.89"
