"Story","Title","Result","Date","Stability","Duration (s)"
"As user I want to see home page So that i can buy product","POST - As a user I success to login with valid data","ERROR","2022-06-17T19:50:32.494+07:00[Asia/Bangkok]","0.0","12.47"
"As user I want to see home page So that i can buy product","POST - As a user I failed to login with empty data","ERROR","2022-06-17T19:50:44.995+07:00[Asia/Bangkok]","0.0","4.26"
"As user i want to create account So that i can login and see home page","POST - As a user I failed to create account with not use domain email","FAILURE","2022-06-17T19:50:58.342+07:00[Asia/Bangkok]","0.0","1.88"
"As user i want to create account So that i can login and see home page","POST - As a user I failed to create account with fill number on username field","FAILURE","2022-06-17T19:51:01.935+07:00[Asia/Bangkok]","0.0","5.21"
