"Story","Title","Result","Date","Stability","Duration (s)"
"As a admin I want to manage city",": As admin i want to login so that i can manage city","SUCCESS","2022-06-24T18:59:59.714+07:00[Asia/Bangkok]","0.0","10.38"
"As a admin I want to manage city","As admin i want to see all list city with invalid endpoint","SUCCESS","2022-06-24T19:00:11.169+07:00[Asia/Bangkok]","0.0","0.76"
"As a admin I want to manage city","As admin i want to create new city with invalid endpoint","SUCCESS","2022-06-24T19:00:13.705+07:00[Asia/Bangkok]","0.0","1.03"
