"Story","Title","Result","Date","Stability","Duration (s)"
"As user I want to see home page So that i can buy product","POST - As a user I success to login with valid data","ERROR","2022-06-11T23:59:38.881+07:00[Asia/Bangkok]","0.0","12.46"
"As user I want to see home page So that i can buy product","POST - As a user I failed to login with empty data","ERROR","2022-06-11T23:59:51.365+07:00[Asia/Bangkok]","0.0","4.27"
