"Story","Title","Result","Date","Stability","Duration (s)"
"As a admin I want to manage city",": As admin i want to login so that i can manage city","ERROR","2022-07-13T22:40:29.02+07:00[Asia/Bangkok]","0.0","6.28"
"As a admin I want to manage city","As admin i want to see all list city with valid endpoint","FAILURE","2022-07-13T22:40:35.334+07:00[Asia/Bangkok]","0.0","1.71"
"As a admin I want to manage city","As admin i want to see all list city with invalid endpoint","SUCCESS","2022-07-13T22:40:37.062+07:00[Asia/Bangkok]","0.0","2.47"
"As a admin I want to manage city","As admin i want to create new city with valid endpoint","FAILURE","2022-07-13T22:40:39.556+07:00[Asia/Bangkok]","0.0","1.21"
"As a admin I want to manage city","As admin i want to create new city with invalid endpoint","SUCCESS","2022-07-13T22:40:40.789+07:00[Asia/Bangkok]","0.0","0.92"
"As a admin I want to manage city","As admin i want to create new city with invalid input data","FAILURE","2022-07-13T22:40:41.726+07:00[Asia/Bangkok]","0.0","0.93"
"As a admin I want to manage city","As admin i want to create new city with same name","FAILURE","2022-07-13T22:40:42.682+07:00[Asia/Bangkok]","0.0","0.74"
