"Story","Title","Result","Date","Stability","Duration (s)"
"As user I want to see building So that i can booking room",": As user i see existing building","SUCCESS","2022-07-18T03:21:01.123+07:00[Asia/Bangkok]","0.0","23.73"
"As user I want to see building So that i can booking room","As user i see nearby facilities on building page","SUCCESS","2022-07-18T03:21:24.887+07:00[Asia/Bangkok]","0.0","22.28"
