"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I want to login in the app So that i can see homepage","As a user i have be able to success login","ERROR","2022-07-04T08:28:41.171+07:00[Asia/Bangkok]","0.0","43.23"
"As a user I want to login in the app So that i can see homepage","As user i have failed to login with empty data","SUCCESS","2022-07-04T08:29:24.432+07:00[Asia/Bangkok]","0.0","21.66"
"As a user I want to login in the app So that i can see homepage","As user i have failed to login with empty email","SUCCESS","2022-07-04T08:29:46.114+07:00[Asia/Bangkok]","0.0","24.17"
"As a user I want to login in the app So that i can see homepage","As user i have failed to login with empty password","SUCCESS","2022-07-04T08:30:10.3+07:00[Asia/Bangkok]","0.0","22.73"
"As a user I want to login in the app So that i can see homepage","As user i have failed to login with not registered email","ERROR","2022-07-04T08:30:33.043+07:00[Asia/Bangkok]","0.0","36.45"
"As a user I want to login in the app So that i can see homepage","As user i have failed to login with wrong password","ERROR","2022-07-04T08:31:09.514+07:00[Asia/Bangkok]","0.0","30.91"
"As a user I want to login in the app So that i can see homepage","As user i have failed to login with invalid password(less than minimum char)","ERROR","2022-07-04T08:31:40.443+07:00[Asia/Bangkok]","0.0","39.04"
