"Story","Title","Result","Date","Stability","Duration (s)"
"As user I want to see existing room So that i can booking room","As user i see detail room","ERROR","2022-07-18T03:23:10.504+07:00[Asia/Bangkok]","0.0","30.71"
"As user I want to see existing room So that i can booking room","As user i success booking room","ERROR","2022-07-18T03:23:41.241+07:00[Asia/Bangkok]","0.0","54.89"
