"Story","Title","Result","Date","Stability","Duration (s)"
"As user I want to see building So that i can booking room",": As user i see existing building","SUCCESS","2022-07-18T03:21:01.123+07:00[Asia/Bangkok]","0.0","23.73"
"As user I want to see building So that i can booking room","As user i see nearby facilities on building page","SUCCESS","2022-07-18T03:21:24.887+07:00[Asia/Bangkok]","0.0","22.28"
"As user I want to chat admin So that i can se detail chat","As user i click existing chat from admin building","SUCCESS","2022-07-18T03:21:47.188+07:00[Asia/Bangkok]","0.0","20.9"
"As user I want to chat admin So that i can se detail chat","As user i search chat with admin","SUCCESS","2022-07-18T03:22:08.106+07:00[Asia/Bangkok]","0.0","18.94"
"As user I want to chat admin So that i can se detail chat","As user i send message","SUCCESS","2022-07-18T03:22:27.07+07:00[Asia/Bangkok]","0.0","23.69"
"As user I want to chat admin So that i can se detail chat","As user i send message with not input text","SUCCESS","2022-07-18T03:22:50.777+07:00[Asia/Bangkok]","0.0","19.71"
